participant_id	age	sex
sub-05	26	m
sub-06	27	m
sub-07	29	f
sub-08	19	m
sub-09	21	m
sub-10	21	f
sub-11	19	f
sub-12	18	f
sub-13	18	f
sub-14	18	m
sub-15	20	f
sub-16	18	f
sub-17	18	f
sub-18	20	f
sub-19	19	f
sub-20	19	f
sub-21	19	f
sub-22	18	m
sub-24	18	f
sub-25	18	f
sub-26	19	f
sub-27	18	m
sub-28	19	f
sub-29	18	m
sub-30	19	f
sub-31	19	f
sub-33	27	f
sub-34	18	f
sub-35	18	m
sub-36	18	f
sub-37	19	f
sub-38	18	m
sub-39	19	m
sub-40	19	f
sub-41	19	f
sub-42	30	m
sub-43	19	f
sub-44	18	m
sub-45	20	m
sub-46	18	m
sub-47	21	m
sub-48	19	m
sub-49	28	m
