name	type	units	sampling_frequency
A1	EEG	uV	2048
A2	EEG	uV	2048
A3	EEG	uV	2048
A4	EEG	uV	2048
A5	EEG	uV	2048
A6	EEG	uV	2048
A7	EEG	uV	2048
A8	EEG	uV	2048
A9	EEG	uV	2048
A10	EEG	uV	2048
A11	EEG	uV	2048
A12	EEG	uV	2048
A13	EEG	uV	2048
A14	EEG	uV	2048
A15	EEG	uV	2048
A16	EEG	uV	2048
A17	EEG	uV	2048
A18	EEG	uV	2048
A19	EEG	uV	2048
A20	EEG	uV	2048
A21	EEG	uV	2048
A22	EEG	uV	2048
A23	EEG	uV	2048
A24	EEG	uV	2048
A25	EEG	uV	2048
A26	EEG	uV	2048
A27	EEG	uV	2048
A28	EEG	uV	2048
A29	EEG	uV	2048
A30	EEG	uV	2048
A31	EEG	uV	2048
A32	EEG	uV	2048
B1	EEG	uV	2048
B2	EEG	uV	2048
B3	EEG	uV	2048
B4	EEG	uV	2048
B5	EEG	uV	2048
B6	EEG	uV	2048
B7	EEG	uV	2048
B8	EEG	uV	2048
B9	EEG	uV	2048
B10	EEG	uV	2048
B11	EEG	uV	2048
B12	EEG	uV	2048
B13	EEG	uV	2048
B14	EEG	uV	2048
B15	EEG	uV	2048
B16	EEG	uV	2048
B17	EEG	uV	2048
B18	EEG	uV	2048
B19	EEG	uV	2048
B20	EEG	uV	2048
B21	EEG	uV	2048
B22	EEG	uV	2048
B23	EEG	uV	2048
B24	EEG	uV	2048
B25	EEG	uV	2048
B26	EEG	uV	2048
B27	EEG	uV	2048
B28	EEG	uV	2048
B29	EEG	uV	2048
B30	EEG	uV	2048
B31	EEG	uV	2048
B32	EEG	uV	2048
C1	EEG	uV	2048
C2	EEG	uV	2048
C3	EEG	uV	2048
C4	EEG	uV	2048
C5	EEG	uV	2048
C6	EEG	uV	2048
C7	EEG	uV	2048
C8	EEG	uV	2048
C9	EEG	uV	2048
C10	EEG	uV	2048
C11	EEG	uV	2048
C12	EEG	uV	2048
C13	EEG	uV	2048
C14	EEG	uV	2048
C15	EEG	uV	2048
C16	EEG	uV	2048
C17	EEG	uV	2048
C18	EEG	uV	2048
C19	EEG	uV	2048
C20	EEG	uV	2048
C21	EEG	uV	2048
C22	EEG	uV	2048
C23	EEG	uV	2048
C24	EEG	uV	2048
C25	EEG	uV	2048
C26	EEG	uV	2048
C27	EEG	uV	2048
C28	EEG	uV	2048
C29	EEG	uV	2048
C30	EEG	uV	2048
C31	EEG	uV	2048
C32	EEG	uV	2048
D1	EEG	uV	2048
D2	EEG	uV	2048
D3	EEG	uV	2048
D4	EEG	uV	2048
D5	EEG	uV	2048
D6	EEG	uV	2048
D7	EEG	uV	2048
D8	EEG	uV	2048
D9	EEG	uV	2048
D10	EEG	uV	2048
D11	EEG	uV	2048
D12	EEG	uV	2048
D13	EEG	uV	2048
D14	EEG	uV	2048
D15	EEG	uV	2048
D16	EEG	uV	2048
D17	EEG	uV	2048
D18	EEG	uV	2048
D19	EEG	uV	2048
D20	EEG	uV	2048
D21	EEG	uV	2048
D22	EEG	uV	2048
D23	EEG	uV	2048
D24	EEG	uV	2048
D25	EEG	uV	2048
D26	EEG	uV	2048
D27	EEG	uV	2048
D28	EEG	uV	2048
D29	EEG	uV	2048
D30	EEG	uV	2048
D31	EEG	uV	2048
D32	EEG	uV	2048
EXG1	OTHER	unknown	2048
EXG2	OTHER	unknown	2048
EXG3	OTHER	unknown	2048
EXG4	OTHER	unknown	2048
EXG5	OTHER	unknown	2048
EXG6	OTHER	unknown	2048
EXG7	OTHER	unknown	2048
EXG8	OTHER	unknown	2048
GSR1	OTHER	unknown	2048
GSR2	OTHER	unknown	2048
Erg1	OTHER	unknown	2048
Erg2	OTHER	unknown	2048
Resp	OTHER	unknown	2048
Plet	OTHER	unknown	2048
Temp	OTHER	unknown	2048
Status	OTHER	unknown	2048
