name	x	y	z
Cz	0	0	88
CCPz	-17	0	86
CPz	-34	0	81
CPPz	-50	0	72
P1	-58	24	61
CPP3h	-45	45	61
CPP3	-52	52	47
PPO3	-66	48	31
PPO5	-70	51	14
PO7	-71	51	-3
PO9h	-69	50	-20
PO9	-64	47	-37
I1	-75	25	-37
OI1	-81	26	-20
O1	-83	27	-3
POO5	-82	27	14
PO3h	-78	25	31
PPO1	-68	28	47
Pz	-63	0	61
PPOz	-74	0	47
POz	-82	0	31
POOz	-86	0	14
Oz	-87	0	-3
OIz	-85	0	-20
Iz	-79	0	-37
I2	-75	-25	-37
OI2	-81	-26	-20
O2	-83	-27	-3
POO6	-82	-27	14
PO4h	-78	-25	31
PPO2	-68	-28	47
P2	-58	-24	61
C2h	-5	-17	86
CCP2h	-24	-24	81
CPP4h	-45	-45	61
CPP4	-52	-52	47
PPO4	-66	-48	31
PPO6	-70	-51	14
PO8	-71	-51	-3
PO10h	-69	-50	-20
PO10	-64	-47	-37
P10	-50	-69	-20
P8	-51	-71	-3
P6	-51	-70	14
CPP6h	-48	-66	31
TP8	-27	-83	-3
TP8h	-27	-82	14
CP6	-25	-78	31
CP6h	-28	-68	47
CCP4	-24	-58	61
CCP2	-25	-43	72
C2	0	-34	81
C4h	0	-50	72
C4	0	-63	61
C6h	0	-74	47
C6	0	-82	31
T8h	0	-86	14
T8	0	-87	-3
FT8	27	-83	-3
FT8h	27	-82	14
FC6	25	-78	31
FC6h	28	-68	47
FC4	24	-58	61
FC4h	25	-43	72
FCC2h	14	-10	86
FCC2	24	-24	81
FFC4h	45	-45	61
FFC4	52	-52	47
FFC6h	48	-66	31
F6	51	-70	14
F8	51	-71	-3
AF8	71	-51	-3
AFF6	70	-51	14
AFF6h	66	-48	31
FFC2	43	-25	72
F2	58	-24	61
AFF2	68	-28	47
AFF4h	78	-25	31
AF4	82	-27	14
Fp2	83	-27	-3
Fpz	87	0	-3
AFpz	86	0	14
AFz	82	0	31
AFFz	74	0	47
Fz	63	0	61
FFCz	50	0	72
FCz	34	0	81
FFC1	43	25	72
F1	58	24	61
AFF1	68	28	47
AFF3h	78	25	31
AF3	82	27	14
Fp1	83	27	-3
AF7	71	51	-3
AFF5	70	51	14
AFF5h	66	48	31
FCC1h	14	10	86
FCC1	24	24	81
FFC3h	45	45	61
FFC3	52	52	47
FFC5h	48	66	31
F5	51	70	14
F7	51	71	-3
FT7	27	83	-3
FT7h	27	82	14
FC5	25	78	31
FC5h	28	68	47
FC3	24	58	61
FC3h	25	43	72
C1	0	34	81
C1h	-5	17	86
CCP1h	-24	24	81
CCP1	-25	43	72
C3h	0	50	72
C3	0	63	61
C5h	0	74	47
C5	0	82	31
T7h	0	86	14
T7	0	87	-3
TP7	-27	83	-3
TP7h	-27	82	14
CP5	-25	78	31
CP5h	-28	68	47
CCP3	-24	58	61
CPP5h	-48	66	31
P5	-51	70	14
P7	-51	71	-3
P9	-50	69	-20
